date,close,volume,high,low,open
2016-10-06,113.89,28508710.0000,114.34,113.13,114.31
2016-10-05,113.05,21400410.0000,113.66,112.69,113.7
2016-10-04,113.0,29707270.0000,114.31,112.63,113.4
2016-10-03,112.52,21634520.0000,113.05,112.28,113.06
2016-09-30,113.05,36340670.0000,113.37,111.8,112.71
2016-09-29,112.18,35850010.0000,113.8,111.8,112.46
2016-09-28,113.95,29608390.0000,114.64,113.43,113.16
2016-09-27,113.09,24587490.0000,113.18,112.34,113.69
2016-09-26,112.88,29800240.0000,113.39,111.55,113.0
2016-09-23,112.71,52411070.0000,114.79,111.55,111.64
2016-09-22,114.62,31048170.0000,114.94,114.0,114.42
2016-09-21,113.55,35951900.0000,113.989,112.441,114.35
2016-09-20,113.57,34494150.0000,114.12,112.51,113.85
2016-09-19,113.58,46937190.0000,116.18,113.25,113.05
2016-09-16,114.92,79763890.0000,116.13,114.04,115.19
2016-09-15,115.57,90398170.0000,115.73,113.49,115.12
2016-09-14,111.77,111186900.0000,113.03,108.6,113.86
2016-09-13,107.95,62080160.0000,108.79,107.24,108.73
2016-09-12,105.44,45114590.0000,105.72,102.53,107.51
2016-09-09,103.13,46461610.0000,105.72,103.13,102.65
2016-09-08,105.52,52955310.0000,107.27,105.24,104.64
2016-09-07,108.36,42250480.0000,108.76,107.07,107.25
2016-09-06,107.7,26645130.0000,108.3,107.51,107.83
2016-09-02,107.73,26393770.0000,108.0,106.82,107.9
2016-09-01,106.73,26675250.0000,106.8,105.62,107.7
2016-08-31,106.1,31639010.0000,106.5699,105.64,106.14
2016-08-30,106.0,24817940.0000,106.5,105.5,105.66
2016-08-29,106.82,24900130.0000,107.44,106.29,105.8
2016-08-26,106.94,27744300.0000,107.95,106.31,106.62
2016-08-25,107.57,25001730.0000,107.88,106.68,107.41
2016-08-24,108.03,23606240.0000,108.75,107.68,107.39
2016-08-23,108.85,21236850.0000,109.32,108.53,108.565
2016-08-22,108.51,25784420.0000,109.1,107.85,108.59
2016-08-19,109.36,25108890.0000,109.69,108.36,108.86
2016-08-18,109.08,21918340.0000,109.6,109.02,108.77
2016-08-17,109.22,25328680.0000,109.37,108.34,109.23
2016-08-16,109.38,33754680.0000,110.23,109.21,109.1
2016-08-15,109.48,25704330.0000,109.54,108.08,109.63
2016-08-12,108.18,18648700.0000,108.44,107.78,108.14
2016-08-11,107.93,27460070.0000,108.93,107.85,107.78
2016-08-10,108.0,23839880.0000,108.9,107.76,108.52
2016-08-09,108.81,26296260.0000,108.94,108.01,108.71
2016-08-08,108.37,28010430.0000,108.37,107.16,108.23
2016-08-05,107.48,39546610.0000,107.65,106.18,107.52
2016-08-04,105.87,26781730.0000,106.0,105.28,106.27
2016-08-03,105.79,30148360.0000,105.84,104.77,105.58
2016-08-02,104.48,33770220.0000,106.07,104.0,104.81
2016-08-01,106.05,38018910.0000,106.15,104.41,106.05
2016-07-29,104.21,27697970.0000,104.55,103.68,104.41
2016-07-28,104.34,38771840.0000,104.45,102.82,104.19
2016-07-27,102.95,92143920.0000,104.35,102.75,102.83
2016-07-26,96.67,53454620.0000,97.97,96.42,104.265
2016-07-25,97.34,40290580.0000,98.84,96.92,96.82
2016-07-22,98.66,28218240.0000,99.3,98.31,98.25
2016-07-21,99.43,32690080.0000,101.0,99.13,99.26
2016-07-20,99.96,26219110.0000,100.46,99.735,99.83
2016-07-19,99.87,23766360.0000,100.0,99.34,100.0
2016-07-18,99.83,36464530.0000,100.13,98.6,99.56
2016-07-15,98.78,30031410.0000,99.3,98.5,98.7
2016-07-14,98.79,38885980.0000,98.99,97.32,98.92
2016-07-13,96.87,25879680.0000,97.67,96.84,97.39
2016-07-12,97.42,24129530.0000,97.7,97.12,97.41
2016-07-11,96.98,23317990.0000,97.65,96.73,97.17
2016-07-08,96.68,28877500.0000,96.89,96.05,96.75
2016-07-07,95.94,24460850.0000,96.5,95.62,96.49
2016-07-06,95.53,30877540.0000,95.66,94.37,95.7
2016-07-05,94.99,27553750.0000,95.4,94.46,94.6
2016-07-01,95.89,25982080.0000,96.465,95.33,95.39
2016-06-30,95.6,35783320.0000,95.77,94.3,95.49
2016-06-29,94.4,36505420.0000,94.55,93.63,94.44
2016-06-28,93.59,40387960.0000,93.66,92.14,93.97
2016-06-27,92.04,45595680.0000,93.05,91.5,92.9
2016-06-24,93.4,75219710.0000,94.655,92.65,93.0
2016-06-23,96.1,32042290.0000,96.29,95.25,92.91
2016-06-22,95.55,29124140.0000,96.89,95.35,95.94
2016-06-21,95.91,35407050.0000,96.35,94.676,96.25
2016-06-20,95.1,34355970.0000,96.57,95.03,94.94
2016-06-17,95.33,60793260.0000,96.65,95.3,96.0
2016-06-16,97.55,31251870.0000,97.75,96.07,96.62
2016-06-15,97.14,29373050.0000,98.41,97.03,96.45
2016-06-14,97.46,31890740.0000,98.475,96.75,97.82
2016-06-13,97.34,37708360.0000,99.12,97.1,97.32
2016-06-10,98.83,31672220.0000,99.3457,98.48,98.69
2016-06-09,99.65,26575570.0000,99.99,98.46,98.53
2016-06-08,98.94,20839950.0000,99.56,98.68,98.5
2016-06-07,99.03,22378380.0000,99.87,98.96,99.02
2016-06-06,98.63,23265200.0000,101.89,97.55,99.25
2016-06-03,97.92,28487570.0000,98.27,97.45,97.99
2016-06-02,97.72,40170200.0000,97.84,96.63,97.79
2016-06-01,98.46,29139100.0000,99.54,98.33,97.6
2016-05-31,99.86,42268040.0000,100.4,98.82,99.02
2016-05-27,100.35,36299460.0000,100.47,99.245,99.6
2016-05-26,100.41,56293490.0000,100.73,98.64,99.44
2016-05-25,99.62,38258300.0000,99.74,98.11,99.68
2016-05-24,97.9,35074380.0000,98.09,96.84,98.67
2016-05-23,96.43,37977020.0000,97.19,95.67,97.22
2016-05-20,95.22,31834020.0000,95.43,94.52,95.87
2016-05-19,94.2,30417880.0000,94.64,93.57,94.64
2016-05-18,94.56,42009830.0000,95.21,93.89,94.64
2016-05-17,93.49,46858910.0000,94.7,93.01,94.16
2016-05-16,93.88,61192340.0000,94.39,91.65,94.55
2016-05-13,90.52,44223040.0000,91.67,90.0,92.39
2016-05-12,90.34,76183460.0000,92.78,89.47,90.0
2016-05-11,92.51,28641180.0000,93.57,92.46,92.72
2016-05-10,93.42,33653020.0000,93.57,92.11,93.48
2016-05-09,92.79,32895650.0000,93.77,92.59,93.33
2016-05-06,92.72,43665160.0000,93.45,91.85,93.0
2016-05-05,93.24,35850220.0000,94.07,92.68,93.37
2016-05-04,94.19,40984160.0000,95.9,93.82,94.0
2016-05-03,95.18,56770080.0000,95.74,93.68,95.2
2016-05-02,93.64,47844490.0000,94.08,92.4,94.2
2016-04-29,93.74,68388840.0000,94.72,92.51,93.965
2016-04-28,94.83,82107120.0000,97.88,94.25,93.99
2016-04-27,97.82,114436300.0000,98.71,95.68,97.61
2016-04-26,104.35,52979780.0000,105.3,103.91,96.0
2016-04-25,105.08,27997990.0000,105.65,104.51,103.91
2016-04-22,105.68,33655810.0000,106.48,104.62,105.0
2016-04-21,105.97,31416910.0000,106.93,105.52,105.01
2016-04-20,107.13,30576980.0000,108.09,106.06,106.93
2016-04-19,106.91,32340620.0000,108.0,106.23,106.64
2016-04-18,107.48,60784920.0000,108.95,106.94,107.88
2016-04-15,109.85,46873670.0000,112.3,109.73,108.89
2016-04-14,112.1,25364920.0000,112.39,111.33,112.11
2016-04-13,112.04,32771760.0000,112.34,110.8,111.62
2016-04-12,110.44,27150570.0000,110.5,108.66,110.8
2016-04-11,109.02,29357940.0000,110.61,108.83,109.34
2016-04-08,108.66,23553790.0000,109.77,108.17,108.97
2016-04-07,108.54,31735810.0000,110.42,108.121,108.91
2016-04-06,110.96,26178840.0000,110.98,109.2,109.95
2016-04-05,109.81,26560420.0000,110.73,109.42,110.23
2016-04-04,111.12,37322930.0000,112.19,110.27,109.51
2016-04-01,109.99,25820460.0000,110.0,108.2,110.42
2016-03-31,108.99,25763840.0000,109.9,108.88,108.78
2016-03-30,109.56,45547590.0000,110.42,108.6,109.72
2016-03-29,107.68,31154910.0000,107.79,104.88,108.65
2016-03-28,105.19,19354440.0000,106.19,105.06,104.89
2016-03-24,105.67,25568350.0000,106.25,104.89,106.0
2016-03-23,106.13,25686350.0000,107.07,105.9,105.47
2016-03-22,106.72,32345430.0000,107.29,105.21,106.48
2016-03-21,105.91,35454230.0000,107.65,105.1401,105.25
2016-03-18,105.92,43607120.0000,106.5,105.19,105.93
2016-03-17,105.8,34394830.0000,106.47,104.96,106.34
2016-03-16,105.97,38236730.0000,106.31,104.59,105.52
2016-03-15,104.58,40026250.0000,105.18,103.85,104.61
